index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
0,20.0,20.0,20.5,20.5,20.75,20.5,21.25,20.5,19.75,20.25,20.5,20.75,21.25,20.25,20.75,21.0,19.75,20.5,20.5,21.0,21.25,21.25,20.5,21.0,20.5,20.5,20.75,21.25,21.25,21.0,20.5,21.25,20.75,20.5,21.25,20.75,21.5,21.25,21.25,20.75,21.0,21.25,21.25,21.25,21.25,21.25,21.75,21.25,20.5,21.0,21.75,21.75,22.0,21.5,21.25,21.25,21.0,21.75,21.75,21.25,21.5,21.25,21.0,20.5,26.69,2020-10-23 05:17:57.330,-1.7648055239123372,0.24420833369739772
1,20.0,20.0,20.25,20.5,20.25,21.0,20.75,20.5,19.75,20.25,21.0,20.75,20.75,21.0,21.0,21.25,20.5,20.5,21.0,20.75,20.75,21.25,20.75,20.75,20.75,20.5,20.75,20.75,21.25,21.0,20.75,21.0,20.75,20.5,21.25,21.0,21.0,21.25,21.25,21.25,20.5,21.0,21.0,21.5,21.25,20.75,21.5,21.0,20.5,21.0,21.25,21.75,21.5,21.0,21.75,21.25,21.5,21.0,21.5,21.75,21.5,21.5,21.25,20.75,26.62,2020-10-23 05:17:57.430,-1.7682499382862185,0.24828774632977085
2,19.5,20.75,21.25,20.25,20.25,21.25,21.0,21.0,20.25,19.75,20.5,20.25,21.0,20.75,21.0,21.25,20.0,20.5,20.75,20.75,21.25,21.5,20.75,20.0,20.5,21.0,20.75,21.0,21.0,21.25,20.75,20.75,20.5,20.5,21.0,21.5,21.0,21.5,21.5,21.0,21.0,20.75,21.5,21.25,21.25,21.5,21.75,21.0,21.0,21.0,21.25,21.5,21.75,21.5,21.5,21.0,21.5,20.75,21.25,21.5,21.25,22.0,21.25,21.25,26.69,2020-10-23 05:17:57.531,-1.77155253914905,0.25286151689903863
3,20.0,20.25,20.5,21.0,20.5,20.5,21.5,20.75,19.75,20.0,20.5,20.75,20.75,21.0,21.0,20.5,20.0,20.5,21.0,20.5,20.75,21.25,21.0,20.75,20.75,21.0,20.75,21.0,21.25,21.25,21.0,21.25,20.75,20.75,21.25,21.25,21.0,21.75,21.5,21.25,20.5,20.75,21.25,20.75,21.0,21.5,21.25,21.25,20.75,21.5,21.25,21.5,21.25,21.25,21.5,21.5,21.5,21.0,21.25,21.75,21.5,22.0,21.25,21.25,26.69,2020-10-23 05:17:57.633,-1.7742646157683324,0.2581901220507784
4,20.0,20.25,20.5,21.0,20.5,20.5,21.5,20.75,19.75,20.0,20.5,20.75,20.75,21.0,21.0,20.5,20.0,20.0,20.5,20.75,20.75,20.75,20.75,20.5,20.5,20.5,20.5,20.25,21.0,21.25,20.5,20.75,20.0,20.0,21.25,20.75,20.5,21.5,20.75,20.75,20.5,20.75,21.0,21.25,21.25,21.25,21.25,21.25,20.25,20.75,21.5,21.5,21.25,21.5,21.25,21.25,21.0,21.0,21.25,21.25,21.25,21.25,21.25,20.25,26.69,2020-10-23 05:17:57.734,-1.7767223833998094,0.2635004568900328
5,19.75,20.25,20.5,20.0,20.5,20.75,20.5,20.0,19.25,20.0,20.5,20.5,21.0,20.5,20.75,20.0,20.0,20.0,20.5,20.75,20.75,20.75,20.75,20.5,20.5,20.5,20.5,20.25,21.0,21.25,20.5,20.75,20.25,20.0,21.25,21.25,21.0,21.0,21.5,21.0,20.5,21.0,21.25,21.25,21.25,21.5,21.25,21.25,20.5,21.0,21.5,21.75,21.75,21.25,21.5,21.0,21.25,20.75,21.75,21.75,21.5,21.5,21.25,21.0,26.69,2020-10-23 05:17:57.839,-1.7786361690506038,0.2692002473561467
6,20.0,20.25,21.0,21.0,20.0,20.75,21.0,20.75,19.5,20.0,21.0,20.5,21.0,21.0,21.25,20.75,20.0,20.25,20.75,21.25,21.0,21.25,21.0,20.5,20.5,20.5,20.5,21.5,21.0,21.25,21.0,21.0,20.25,20.0,21.25,21.25,21.0,21.0,21.5,21.0,20.5,21.0,21.25,21.25,21.25,21.5,21.25,21.25,20.25,21.0,21.75,21.5,21.5,21.25,21.5,21.0,21.5,21.5,21.25,21.75,22.0,21.75,21.25,21.75,26.69,2020-10-23 05:17:57.935,-1.7792133075130008,0.2738531980023915
7,20.0,20.0,20.5,20.75,20.5,20.75,20.75,20.5,19.75,20.25,21.0,20.5,20.75,20.75,21.0,21.0,19.75,20.5,21.0,21.25,20.75,21.25,21.25,21.0,20.5,20.75,21.0,21.0,21.25,21.0,20.75,21.25,20.5,20.5,21.0,21.0,20.75,21.25,21.5,20.75,21.25,21.0,21.5,21.5,21.5,21.25,21.25,21.0,20.25,21.0,21.75,21.5,21.5,21.25,21.5,21.0,21.5,21.5,21.25,21.75,22.0,21.75,21.25,21.75,26.69,2020-10-23 05:17:58.036,-1.7799294549865037,0.2792532546256572
8,19.75,19.75,20.75,20.5,20.75,21.0,20.75,20.75,20.0,20.5,21.0,21.0,20.75,20.75,21.25,20.75,20.25,20.75,21.0,21.0,20.75,21.0,20.75,20.75,20.75,20.75,21.0,21.0,21.0,21.25,21.0,21.25,20.5,20.5,21.25,21.25,21.0,21.75,21.25,21.0,20.75,21.0,21.25,21.0,21.5,21.25,21.5,21.75,20.5,21.25,21.25,21.5,21.5,21.25,21.5,21.0,21.0,21.25,21.75,21.5,21.25,21.5,21.5,21.25,26.69,2020-10-23 05:17:58.138,-1.7799922454218138,0.28590075001876664
9,19.75,20.25,20.75,20.75,20.0,20.5,20.75,20.5,19.5,20.25,20.75,20.5,21.25,20.75,21.0,20.75,20.25,20.5,21.0,21.25,20.75,21.0,20.75,21.0,21.0,20.5,21.0,21.0,21.0,20.75,20.75,21.25,20.25,20.5,21.25,21.25,20.5,21.5,21.25,20.75,20.5,21.0,21.0,21.0,21.25,21.25,21.25,21.5,20.5,20.75,21.25,21.5,21.5,21.25,21.5,21.0,21.5,21.25,21.5,21.5,21.25,21.5,21.25,22.0,26.69,2020-10-23 05:17:58.239,-1.7763709765423603,0.29209334691861966
10,20.0,20.0,20.75,20.5,20.5,20.75,21.0,20.5,19.5,19.75,20.5,20.0,20.75,20.25,20.75,20.25,20.0,20.5,20.5,21.25,20.75,21.5,20.5,20.5,20.5,21.0,20.5,21.0,20.75,20.75,20.5,21.25,20.0,20.0,20.5,20.75,20.5,21.25,20.75,20.75,21.0,21.25,21.0,21.25,21.25,21.0,21.5,21.25,21.0,20.75,21.75,21.0,21.75,20.75,21.75,21.0,21.0,21.0,21.25,21.25,21.25,21.5,21.0,20.75,26.69,2020-10-23 05:17:58.339,-1.769063179910211,0.29639206066897994
