index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
9227,19.0,20.0,19.75,20.5,19.5,20.0,20.75,22.25,19.25,20.5,20.0,20.0,20.5,21.75,23.25,22.75,19.5,19.75,20.25,20.5,20.5,22.0,21.25,20.5,20.25,20.25,20.5,20.25,21.0,21.25,20.25,20.5,20.0,20.0,21.0,20.75,20.75,21.0,20.75,20.5,19.75,20.5,20.75,20.75,21.0,21.25,20.75,20.75,20.25,20.75,20.75,21.0,21.25,21.25,21.5,20.75,20.5,20.25,20.75,21.25,21.0,21.0,21.25,20.25,26.62,2020-10-23 04:24:59.843,0.706901821056377,3.054560536146451
9228,19.25,19.5,19.75,20.0,20.25,20.25,21.5,23.0,19.75,20.0,20.0,20.25,20.75,22.25,23.25,22.75,20.25,20.5,20.75,20.75,20.75,22.0,21.5,20.5,20.5,20.5,20.25,21.0,21.0,21.0,20.5,20.75,20.25,20.25,21.0,20.75,20.5,21.5,20.75,20.25,20.25,20.0,20.25,20.75,21.25,21.25,21.25,20.75,20.5,20.75,21.0,21.25,21.5,21.75,21.5,20.75,20.25,20.75,21.0,21.25,20.75,21.5,21.25,20.75,26.62,2020-10-23 04:24:59.943,0.731899473918287,3.040253887067787
9229,19.5,19.75,20.0,20.5,20.25,21.0,21.75,23.0,19.5,19.75,20.0,20.25,20.5,22.25,23.75,22.0,20.0,20.25,20.75,20.5,20.75,21.25,21.5,20.75,20.5,20.5,20.25,20.25,20.75,21.0,20.75,21.0,19.75,20.0,21.0,21.0,20.5,21.5,20.75,20.75,20.5,21.0,21.5,20.5,21.0,21.0,21.5,20.75,20.0,21.25,20.75,21.5,21.5,21.5,21.0,21.0,21.25,20.75,21.25,21.25,21.5,21.0,21.25,21.0,26.62,2020-10-23 04:25:00.045,0.7518115260759982,3.0204667745955334
9230,19.5,20.0,20.25,20.5,20.5,21.0,23.0,23.0,19.0,20.25,20.0,20.5,20.75,22.5,23.25,21.5,20.0,20.0,21.0,20.5,20.75,21.5,21.0,20.25,20.0,20.25,20.5,20.5,21.0,21.0,20.25,20.5,20.0,20.5,21.0,21.0,21.0,21.0,21.5,20.5,20.25,20.5,20.75,21.0,20.75,21.0,20.75,21.0,20.5,20.25,20.75,21.0,21.0,21.25,21.25,21.0,20.75,20.75,21.75,20.75,20.75,21.5,21.5,21.0,26.62,2020-10-23 04:25:00.146,0.7719320751938594,2.993704264232174
9231,18.75,20.0,20.25,20.0,19.75,22.25,23.75,23.0,19.5,20.5,20.25,20.75,20.25,22.5,23.25,21.0,20.0,20.0,20.75,20.5,20.75,21.25,21.25,20.75,19.75,20.5,21.0,20.75,20.5,21.0,20.75,20.75,19.75,20.0,20.75,21.25,21.0,21.25,20.75,20.75,20.25,20.0,20.5,21.0,21.5,21.25,20.75,20.5,20.0,20.75,21.5,21.25,21.5,21.25,21.75,21.0,21.0,20.5,21.5,21.25,21.25,21.5,20.75,20.75,26.62,2020-10-23 04:25:00.247,0.7877348399988885,2.959622972963651
9232,19.25,19.25,20.0,19.75,19.75,22.75,23.5,22.25,19.25,19.75,20.25,20.25,20.75,22.0,22.25,20.0,19.25,20.0,20.25,20.25,21.0,21.5,21.0,20.25,20.0,20.0,20.25,20.25,21.0,20.5,20.5,20.5,20.25,20.0,20.75,21.0,20.75,21.0,21.25,20.5,20.5,20.5,20.75,20.5,21.0,21.0,21.0,20.75,20.25,20.5,20.75,20.75,21.25,21.25,21.25,21.0,20.25,20.5,21.0,21.5,21.0,21.5,21.0,21.0,26.62,2020-10-23 04:25:00.347,0.8082903363251372,2.920883599515692
9233,19.5,20.0,20.25,20.25,20.5,23.25,24.25,22.0,19.25,20.25,20.5,20.0,21.0,22.25,22.25,20.5,20.0,19.75,20.5,20.5,21.0,21.25,21.0,20.75,20.5,20.25,20.5,21.0,21.0,21.0,20.25,20.75,20.0,20.25,20.75,20.75,20.75,21.0,20.5,20.5,20.0,20.5,20.75,21.0,21.0,21.0,21.0,21.5,19.75,20.5,21.25,21.5,21.25,21.25,21.5,20.5,20.25,20.5,21.0,21.75,21.5,21.25,21.0,21.0,26.62,2020-10-23 04:25:00.449,0.8322909594714607,2.889138587854072
9234,19.75,20.0,20.0,20.25,20.5,23.5,24.0,21.0,19.5,20.0,20.25,20.25,20.5,21.5,21.25,20.75,20.25,19.75,21.0,20.75,20.75,21.5,20.5,20.25,19.75,20.5,20.5,20.25,20.75,21.25,20.75,20.75,20.0,20.25,20.5,21.0,20.75,21.25,21.0,20.5,20.75,20.5,21.0,20.75,21.0,21.0,20.75,20.75,21.0,20.75,21.0,21.25,21.25,21.5,21.5,20.75,20.75,20.25,21.0,21.0,21.0,21.0,20.75,20.75,26.62,2020-10-23 04:25:00.551,0.8528811618323067,2.86596539534204
9235,19.0,19.75,20.25,20.0,20.0,23.5,24.0,21.25,19.5,20.25,20.0,20.0,21.25,22.25,21.25,20.25,19.75,20.0,20.5,20.75,20.5,21.25,20.75,20.25,20.0,20.25,20.25,20.75,21.25,21.0,20.5,21.0,20.0,20.5,20.5,21.0,20.75,21.0,20.75,20.5,20.25,20.25,20.75,20.5,21.0,21.25,21.0,21.0,20.25,20.25,21.0,21.0,21.25,21.0,21.5,20.5,21.25,21.25,21.25,21.25,21.5,21.5,21.25,21.25,26.62,2020-10-23 04:25:00.655,0.8648410040662925,2.84963721385005
9236,19.25,19.5,20.25,20.5,21.0,23.5,23.5,20.75,19.0,19.5,20.0,20.5,21.25,22.0,21.0,20.75,19.5,20.25,20.0,20.75,20.5,21.5,20.5,20.25,20.75,20.5,20.5,20.75,21.0,20.75,20.75,20.5,20.0,20.0,20.75,21.25,20.75,21.0,21.0,20.25,20.25,20.0,20.75,20.5,20.75,20.75,20.75,20.75,20.0,20.75,21.0,20.75,21.0,21.75,21.25,20.75,20.75,20.25,21.0,21.0,21.25,21.5,21.0,21.25,26.62,2020-10-23 04:25:00.752,0.869241063249288,2.840203437849268
9237,19.25,19.5,20.25,20.5,21.0,23.5,23.5,20.75,19.0,19.5,20.0,20.5,21.25,22.0,21.0,20.75,19.75,19.25,20.25,20.75,20.5,21.25,20.5,20.25,20.5,20.25,20.5,20.75,20.75,20.75,20.5,21.0,20.0,20.0,20.25,21.0,20.75,21.0,21.0,20.0,20.25,20.25,20.75,21.25,21.0,20.75,20.5,21.0,20.75,20.5,20.75,21.0,21.5,21.0,21.0,20.5,20.5,20.75,21.0,21.0,21.0,21.5,21.0,20.75,26.62,2020-10-23 04:25:00.853,0.8681171303355236,2.834788345225751
9238,19.0,19.25,20.0,20.0,20.75,23.25,23.25,20.75,19.5,19.5,20.5,20.0,21.0,21.75,21.0,20.25,19.75,19.25,20.25,20.75,20.5,21.25,20.5,20.25,20.5,20.25,20.5,20.75,20.75,20.75,20.5,21.0,19.75,20.25,20.75,20.75,21.0,21.5,21.25,20.5,20.25,20.5,21.0,20.75,20.75,21.25,21.25,20.5,20.5,20.5,20.75,21.25,21.5,21.0,21.25,20.5,20.5,20.25,20.75,21.5,21.0,21.0,20.75,20.25,26.56,2020-10-23 04:25:00.954,0.8640770317498709,2.8347168333053894
9239,18.75,19.25,20.25,20.25,20.5,23.75,23.75,20.75,19.5,20.5,20.5,20.25,21.25,22.5,21.0,20.75,20.0,20.25,20.75,20.75,20.5,21.5,20.5,20.0,20.25,20.5,20.5,20.5,20.5,20.75,20.25,20.25,19.75,20.25,20.75,20.75,21.0,21.5,21.25,20.5,20.25,20.5,21.0,20.75,20.75,21.25,21.25,20.5,20.0,20.5,21.0,21.5,21.5,21.25,20.75,20.75,20.75,20.5,21.0,21.0,20.75,21.5,21.25,21.25,26.62,2020-10-23 04:25:01.055,0.86082156517662,2.8371502426745185
9240,18.75,20.0,20.25,20.25,20.5,24.0,23.5,21.0,19.5,20.0,20.5,20.5,21.25,22.25,21.0,20.5,19.75,19.75,20.5,20.75,21.0,21.5,21.0,20.25,20.0,20.25,20.75,20.75,21.0,20.75,20.75,21.0,20.25,20.0,20.5,21.0,21.0,21.25,21.0,20.5,20.25,20.5,21.25,20.75,21.25,21.25,21.0,20.75,20.0,20.5,21.0,21.5,21.5,21.25,20.75,20.75,20.75,20.5,21.0,21.0,20.75,21.5,21.25,21.25,26.62,2020-10-23 04:25:01.155,0.8562455127147186,2.8441430101177216
9241,19.75,20.0,20.25,20.25,20.5,23.25,23.5,21.0,19.25,19.75,20.5,20.25,21.0,22.75,20.5,20.0,20.0,19.75,20.5,20.5,20.25,20.75,20.5,20.0,20.25,20.25,20.5,20.5,20.75,21.0,20.25,20.25,19.75,20.0,20.75,20.75,21.0,21.0,21.0,20.75,20.25,20.5,20.5,20.75,21.25,20.75,21.5,21.25,20.0,20.75,20.5,20.75,21.5,21.5,21.25,20.75,21.25,21.0,21.0,21.25,21.0,21.25,21.25,20.5,26.62,2020-10-23 04:25:01.256,0.8477221010144136,2.8499612715309164
9242,19.0,20.0,20.75,20.25,20.5,23.5,23.5,20.75,20.0,20.0,20.0,20.5,21.0,22.25,21.75,20.0,19.75,19.75,20.25,20.5,20.5,21.25,20.5,20.0,20.5,20.25,20.5,20.5,21.0,20.75,20.5,20.75,20.0,20.0,21.0,21.0,20.75,21.0,20.75,20.5,20.5,20.5,20.75,20.75,20.75,21.25,20.75,20.25,20.25,20.25,20.75,21.25,21.5,21.0,21.5,21.0,20.75,21.0,21.5,21.5,21.0,21.0,21.0,20.5,26.62,2020-10-23 04:25:01.358,0.8356190159516761,2.8519020551407914
9243,19.5,19.75,20.0,19.5,20.25,22.75,23.75,20.5,19.0,20.0,20.25,20.0,21.5,22.0,21.0,20.0,19.5,20.25,20.5,20.25,20.0,21.25,20.25,20.25,20.0,20.0,20.5,20.25,20.75,20.75,20.0,20.0,20.0,19.5,20.5,21.0,20.75,21.0,20.75,20.5,20.0,20.5,20.5,20.25,21.25,20.75,21.0,21.0,20.25,20.5,20.75,20.5,21.25,20.75,21.0,20.5,21.25,20.5,20.75,21.25,21.0,21.0,21.0,21.5,26.56,2020-10-23 04:25:01.459,0.8278501212387607,2.854857930884647
