index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
0,18.5,19.0,19.5,19.5,19.75,19.75,20.25,20.0,19.0,19.25,19.75,19.75,19.75,19.5,19.75,19.0,19.0,19.25,20.25,19.75,19.75,20.0,19.5,19.5,19.5,19.0,20.0,19.5,20.25,20.0,19.5,19.75,19.0,19.25,19.75,19.75,19.5,20.0,19.75,19.5,18.75,19.5,19.5,19.0,19.5,19.75,19.75,19.75,18.75,18.75,19.5,19.75,20.25,20.0,19.5,19.75,18.5,18.75,19.5,19.75,19.5,20.0,19.75,19.5,24.75,2020-11-05 01:56:00.723,-1.6984128010940083,0.8049050099423593
1,18.75,19.5,19.25,19.5,19.25,19.5,19.75,19.25,19.0,19.25,20.0,19.25,19.75,19.25,19.5,19.5,19.5,19.5,19.5,19.75,19.75,19.75,19.5,19.75,19.5,19.25,19.5,19.75,19.75,20.0,19.0,19.75,19.0,19.0,20.25,19.5,19.75,20.0,20.0,19.5,19.25,19.25,19.5,19.5,20.25,20.0,19.75,20.0,18.75,19.25,19.25,19.25,20.0,19.5,19.5,19.25,19.5,18.25,20.0,19.25,19.25,19.5,19.75,20.0,24.75,2020-11-05 01:56:00.823,-1.6983529747347936,0.8041233217915806
2,18.75,19.5,19.25,19.5,19.25,19.5,19.75,19.25,19.0,19.25,20.0,19.25,19.75,19.25,19.5,19.5,19.25,19.75,20.0,20.0,19.5,20.0,19.5,19.5,19.0,19.75,19.75,19.75,20.0,19.75,19.25,19.5,19.0,19.25,20.0,20.25,19.5,20.5,19.75,19.5,19.25,19.25,19.5,19.5,20.25,20.0,19.75,20.0,18.5,19.5,19.25,19.75,19.75,19.75,19.5,19.75,18.75,18.75,18.75,19.5,19.5,19.75,19.5,20.0,24.75,2020-11-05 01:56:00.935,-1.6987019240200496,0.8041363379890063
3,18.75,19.25,19.5,19.5,19.5,19.5,19.5,19.25,19.0,19.5,19.75,19.75,20.0,19.5,20.25,20.0,19.25,19.75,20.0,20.0,19.5,20.0,19.5,19.5,19.0,19.75,19.75,19.75,20.0,19.75,19.25,19.5,19.0,19.0,20.25,20.0,19.5,20.0,20.0,19.5,18.75,18.75,19.0,19.5,20.0,19.5,20.0,19.5,18.25,19.25,19.0,19.75,19.75,19.75,19.75,19.25,19.0,18.5,20.0,19.25,19.5,19.5,19.25,18.75,24.75,2020-11-05 01:56:01.029,-1.6979393443975792,0.8042572876146262
4,18.25,19.25,19.5,19.25,19.0,19.25,19.5,19.0,19.25,19.25,19.75,19.0,19.75,19.75,19.25,19.75,19.0,19.5,20.0,19.75,19.5,19.5,19.25,18.75,19.25,19.25,19.5,19.5,20.0,19.5,19.25,19.75,19.0,19.0,20.25,20.0,19.5,20.0,20.0,19.5,18.75,18.75,19.0,19.5,20.0,19.5,20.0,19.5,19.25,19.0,19.5,19.5,19.75,20.0,20.0,20.0,18.75,18.5,19.75,19.75,19.5,19.5,19.25,19.5,24.75,2020-11-05 01:56:01.125,-1.6971279514994793,0.8039206191190804
5,18.75,19.25,19.0,19.75,19.0,19.75,19.5,19.5,18.5,19.75,19.5,19.25,19.75,19.25,19.5,19.5,19.25,19.5,20.0,19.75,19.5,20.25,19.25,19.5,19.0,19.5,19.75,19.75,19.75,19.75,19.25,19.75,19.5,19.0,19.5,20.0,19.5,19.75,19.5,19.25,19.0,19.0,19.25,20.0,19.75,19.75,20.25,19.5,19.25,19.0,19.5,19.5,19.75,20.0,20.0,20.0,18.75,18.5,19.75,19.75,19.5,19.5,19.25,19.5,24.75,2020-11-05 01:56:01.226,-1.695889105890166,0.8043735446006444
6,19.0,19.5,19.75,19.5,19.5,19.5,20.0,20.0,18.75,19.25,20.0,19.25,19.75,19.5,19.5,19.25,19.0,19.25,20.0,20.25,19.75,20.0,20.0,19.5,19.25,20.0,19.75,20.0,20.25,19.75,19.5,19.5,18.75,19.25,20.0,20.0,19.5,19.75,19.5,19.75,19.25,19.25,19.5,19.75,19.75,19.75,20.0,19.75,18.5,18.75,19.5,20.0,19.75,19.5,19.75,20.0,19.0,18.75,19.0,19.75,19.75,20.0,19.25,19.5,24.75,2020-11-05 01:56:01.327,-1.6951926887826472,0.8044565235175505
7,19.0,19.25,19.25,19.5,19.0,19.0,19.75,19.75,19.75,19.0,19.25,19.5,20.0,19.25,19.75,19.25,19.0,19.5,20.0,19.5,20.0,19.5,19.5,19.25,19.25,19.5,20.0,20.0,20.0,20.0,19.75,19.75,18.75,19.0,19.25,19.75,20.0,19.75,19.75,19.75,18.5,19.5,19.5,19.25,19.75,19.75,19.75,19.25,18.5,19.0,19.75,19.5,19.5,20.0,20.0,20.0,19.25,19.0,19.5,19.75,19.5,19.75,19.75,19.5,24.75,2020-11-05 01:56:01.447,-1.6947036979837118,0.804258319507134
8,19.0,19.25,19.75,19.5,19.5,19.5,19.75,19.5,18.75,19.5,19.25,19.75,19.75,20.0,19.5,19.25,19.0,19.0,19.75,19.5,19.25,20.0,19.5,19.0,19.5,19.75,19.5,19.5,19.75,19.75,19.25,19.75,19.0,19.0,20.0,19.5,19.75,20.0,20.0,19.25,19.0,19.25,19.5,19.75,19.75,20.0,19.5,19.5,18.25,19.0,19.5,20.0,20.0,19.5,20.0,19.5,19.25,18.5,19.75,19.5,19.25,19.5,19.5,19.5,24.75,2020-11-05 01:56:01.528,-1.6944024968412752,0.8039610619495965
9,19.0,18.25,19.25,19.5,19.0,19.25,19.5,19.25,18.5,19.0,19.25,19.25,19.75,19.25,19.5,19.25,18.5,19.25,19.5,19.5,19.5,20.25,19.0,19.25,19.5,19.5,19.5,19.25,19.75,19.75,19.0,19.5,18.25,18.75,20.0,20.0,19.25,19.75,19.5,19.0,18.5,19.0,19.0,19.25,19.75,19.0,19.75,19.5,18.0,18.75,19.25,19.25,19.75,19.5,20.0,19.25,18.75,18.75,19.25,19.75,19.0,19.25,19.25,18.5,24.75,2020-11-05 01:56:01.637,-1.6945016626551896,0.8040912860884107
